gewichtet: TRUE
gerichtet: FALSE
135,"Lienz",1120,1678
136,"Villach",1281,1727
137,"Triest",1258,1942
138,"Udine",1186,1848
139,"Venedig",1038,1979
140,"Padua",965,1981
141,"Vicenza",917,1945
142,"Wien",1642,1415
143,"Klagenfurt",1361,1735
144,"Graz",1520,1650
145,"Fulda",776,820
146,"Hersfeld",779,749
147,"Eger",1131,969
148,"Zwickau",1156,827
0,2,249
1,2,152
2,4,256
2,5,211
2,14,313
2,105,383
2,108,250
3,7,76
3,9,143
4,6,142
4,10,146
4,13,266
4,109,109
5,11,110
6,7,107
7,8,51
7,68,254
7,70,202
7,78,224
7,97,170
8,21,137
9,68,75
10,11,61
11,12,99
12,13,133
12,15,119
12,17,226
13,19,237
13,146,184
14,15,126
14,24,231
15,148,60
16,17,117
16,18,19
16,20,186
16,23,315
16,25,151
16,27,167
16,38,80
17,147,119
18,19,76
19,20,137
20,39,176
20,45,198
20,145,173
21,22,81
22,99,126
22,146,94
23,24,169
23,29,231
23,147,151
24,29,242
25,26,139
26,27,212
26,31,233
26,32,156
26,36,101
26,58,148
27,28,203
28,30,142
29,30,161
30,31,203
30,142,279
31,134,168
32,33,130
33,34,112
33,35,164
33,58,71
34,61,138
35,130,108
35,135,211
36,37,136
37,38,225
37,40,144
37,59,163
37,60,186
38,39,201
39,40,72
39,43,101
40,41,247
40,42,116
41,52,212
41,63,80
42,43,102
42,52,122
43,44,92
43,46,32
43,47,46
44,45,55
45,46,134
45,48,55
45,103,151
45,104,100
46,47,17
47,48,113
47,49,86
48,49,137
48,103,121
49,50,126
50,51,113
50,54,176
50,56,117
51,57,87
51,103,177
52,53,127
52,54,25
53,65,100
54,55,215
54,66,188
55,56,85
56,57,110
57,101,232
58,59,116
59,60,100
60,61,75
60,62,69
61,62,63
62,63,115
62,110,124
63,64,94
63,110,194
64,65,64
64,111,86
64,112,115
65,66,67
66,115,67
67,68,170
68,106,120
68,108,240
69,70,91
70,71,72
71,73,94
71,78,188
72,73,43
73,74,125
74,75,149
75,76,160
76,77,229
76,80,65
76,82,103
76,83,146
76,87,103
77,78,158
78,79,89
79,98,76
80,81,104
81,82,33
82,83,166
82,84,149
83,84,149
83,85,126
83,88,180
84,86,72
85,100,64
85,101,62
86,101,173
87,88,163
88,89,72
88,90,29
88,93,115
89,95,35
89,96,47
89,98,78
90,91,49
90,95,32
91,92,47
92,93,31
92,94,56
92,104,252
93,100,103
93,102,57
94,95,48
94,96,67
95,96,38
96,98,49
96,104,264
97,98,136
98,99,132
100,101,90
102,103,108
104,146,155
105,107,128
106,107,96
107,108,140
108,109,90
110,123,95
111,122,112
112,113,146
113,114,102
113,117,204
113,118,125
114,121,68
115,116,157
116,117,88
118,119,90
119,120,100
120,125,92
121,133,81
122,124,186
123,124,151
124,127,83
125,126,166
125,132,154
126,127,82
127,128,94
128,129,85
129,131,121
130,131,139
131,141,87
132,133,141
134,136,111
135,136,168
136,138,154
136,143,80
137,138,118
138,139,198
139,140,73
140,141,60
142,144,265
143,144,180
145,146,71
147,148,144
